"sentiment_label","word","n"
"positive","review",10799
"positive","camera",9915
"positive","phone",9090
"positive","love",6152
"positive","quality",5945
"positive","product",5892
"positive","price",5342
"positive","game",5271
"positive","easy",4861
"positive","purchase",4254
"positive","excellent",4121
"positive","battery",3867
"positive","condition",3771
"positive","nice",3571
"positive","awesome",3158
"neutral","review",1287
"negative","review",922
"neutral","phone",741
"neutral","camera",659
"negative","phone",606
"neutral","game",493
"neutral","battery",444
"neutral","dont",444
"negative","game",429
"negative","camera",353
"neutral","product",351
"negative","battery",349
"neutral","buy",307
"neutral","bought",296
"neutral","time",295
"negative","dont",286
"neutral","price",282
"negative","product",276
"negative","screen",274
"negative","bad",247
"negative","time",238
"neutral","screen",236
"negative","quality",227
"neutral","love",227
"negative","sound",226
"neutral","quality",219
"neutral","sound",215
"negative","buy",203
"negative","bought",191
"negative","doesnt",189
